# Sinusoidal end-effector reference trajectory
# amplitude_m    : 0.0200
# amplitude_cm   : 2.0
# n_waves        : 4
# ws_centre_m    : (0.42562, -0.24573)
# n_points       : 600
# arc_length_m   : 1.70465
# arc_length_cm  : 170.465
t,x_m,y_m,arc_length_m
0.1986644,0.1336558,-0.5739611,0.3570795
0.2003339,0.1361862,-0.5735464,0.3596436
0.2020033,0.1386934,-0.5731438,0.3621830
0.2036728,0.1411781,-0.5727530,0.3646982
0.2053422,0.1436407,-0.5723741,0.3671899
0.2070117,0.1460820,-0.5720068,0.3696586
0.2086811,0.1485025,-0.5716509,0.3721051
0.2103506,0.1509029,-0.5713062,0.3745301
0.2120200,0.1532839,-0.5709723,0.3769345
0.2136895,0.1556463,-0.5706489,0.3793189
0.2153589,0.1579908,-0.5703356,0.3816842
0.2170284,0.1603181,-0.5700319,0.3840313
0.2186978,0.1626292,-0.5697372,0.3863611
0.2203673,0.1649248,-0.5694511,0.3886745
0.2220367,0.1672059,-0.5691730,0.3909724
0.2237062,0.1694731,-0.5689021,0.3932558
0.2253756,0.1717275,-0.5686379,0.3955256
0.2270451,0.1739700,-0.5683795,0.3977829
0.2287145,0.1762014,-0.5681262,0.4000287
0.2303840,0.1784227,-0.5678772,0.4022639
0.2320534,0.1806348,-0.5676316,0.4044896
0.2337229,0.1828387,-0.5673886,0.4067068
0.2353923,0.1850352,-0.5671472,0.4089165
0.2370618,0.1872254,-0.5669064,0.4111199
0.2387312,0.1894101,-0.5666653,0.4133179
0.2404007,0.1915903,-0.5664229,0.4155115
0.2420701,0.1937669,-0.5661781,0.4177019
0.2437396,0.1959409,-0.5659298,0.4198900
0.2454090,0.1981132,-0.5656769,0.4220769
0.2470785,0.2002846,-0.5654183,0.4242637
0.2487479,0.2024561,-0.5651529,0.4264513
0.2504174,0.2046285,-0.5648794,0.4286409
0.2520868,0.2068027,-0.5645968,0.4308334
0.2537563,0.2089796,-0.5643037,0.4330299
0.2554257,0.2111598,-0.5639991,0.4352313
0.2570952,0.2133443,-0.5636816,0.4374388
0.2587646,0.2155338,-0.5633501,0.4396532
0.2604341,0.2177291,-0.5630034,0.4418757
0.2621035,0.2199308,-0.5626401,0.4441071
0.2637730,0.2221396,-0.5622592,0.4463486
0.2654424,0.2243563,-0.5618592,0.4486010
0.2671119,0.2265813,-0.5614391,0.4508654
0.2687813,0.2288155,-0.5609975,0.4531428
0.2704508,0.2310592,-0.5605334,0.4554340
0.2721202,0.2333130,-0.5600453,0.4577401
0.2737896,0.2355774,-0.5595323,0.4600619
0.2754591,0.2378529,-0.5589930,0.4624003
0.2771285,0.2401397,-0.5584264,0.4647564
0.2787980,0.2424385,-0.5578314,0.4671309
0.2804674,0.2447493,-0.5572067,0.4695246
0.2821369,0.2470725,-0.5565514,0.4719385
0.2838063,0.2494084,-0.5558644,0.4743733
0.2854758,0.2517571,-0.5551446,0.4768298
0.2871452,0.2541188,-0.5543912,0.4793088
0.2888147,0.2564935,-0.5536030,0.4818109
0.2904841,0.2588814,-0.5527793,0.4843369
0.2921536,0.2612825,-0.5519191,0.4868874
0.2938230,0.2636966,-0.5510217,0.4894630
0.2954925,0.2661239,-0.5500861,0.4920642
0.2971619,0.2685640,-0.5491117,0.4946917
0.2988314,0.2710168,-0.5480978,0.4973459
0.3005008,0.2734822,-0.5470436,0.5000272
0.3021703,0.2759599,-0.5459487,0.5027360
0.3038397,0.2784496,-0.5448124,0.5054727
0.3055092,0.2809509,-0.5436343,0.5082376
0.3071786,0.2834634,-0.5424139,0.5110308
0.3088481,0.2859868,-0.5411507,0.5138527
0.3105175,0.2885205,-0.5398446,0.5167033
0.3121870,0.2910641,-0.5384951,0.5195826
0.3138564,0.2936169,-0.5371021,0.5224908
0.3155259,0.2961785,-0.5356655,0.5254278
0.3171953,0.2987482,-0.5341850,0.5283934
0.3188648,0.3013253,-0.5326607,0.5313876
0.3205342,0.3039092,-0.5310926,0.5344101
0.3222037,0.3064992,-0.5294807,0.5374607
0.3238731,0.3090944,-0.5278252,0.5405390
0.3255426,0.3116942,-0.5261264,0.5436446
0.3272120,0.3142976,-0.5243844,0.5467771
0.3288815,0.3169040,-0.5225996,0.5499360
0.3305509,0.3195124,-0.5207724,0.5531207
0.3322204,0.3221219,-0.5189032,0.5563306
0.3338898,0.3247317,-0.5169925,0.5595650
0.3355593,0.3273408,-0.5150410,0.5628232
0.3372287,0.3299483,-0.5130492,0.5661045
0.3388982,0.3325533,-0.5110178,0.5694079
0.3405676,0.3351549,-0.5089476,0.5727326
0.3422371,0.3377520,-0.5068393,0.5760778
0.3439065,0.3403437,-0.5046939,0.5794422
0.3455760,0.3429290,-0.5025122,0.5828251
0.3472454,0.3455070,-0.5002952,0.5862252
0.3489149,0.3480766,-0.4980439,0.5896415
0.3505843,0.3506369,-0.4957595,0.5930728
0.3522538,0.3531869,-0.4934429,0.5965180
0.3539232,0.3557257,-0.4910955,0.5999758
0.3555927,0.3582524,-0.4887183,0.6034448
0.3572621,0.3607658,-0.4863127,0.6069240
0.3589316,0.3632652,-0.4838800,0.6104119
0.3606010,0.3657497,-0.4814215,0.6139071
0.3622705,0.3682182,-0.4789385,0.6174084
0.3639399,0.3706700,-0.4764325,0.6209143
0.3656093,0.3731042,-0.4739050,0.6244234
0.3672788,0.3755200,-0.4713574,0.6279343
0.3689482,0.3779166,-0.4687912,0.6314455
0.3706177,0.3802932,-0.4662079,0.6349557
0.3722871,0.3826490,-0.4636092,0.6384633
0.3739566,0.3849834,-0.4609966,0.6419669
0.3756260,0.3872957,-0.4583716,0.6454651
0.3772955,0.3895853,-0.4557360,0.6489563
0.3789649,0.3918516,-0.4530913,0.6524392
0.3806344,0.3940939,-0.4504391,0.6559122
0.3823038,0.3963120,-0.4477812,0.6593741
0.3839733,0.3985051,-0.4451191,0.6628232
0.3856427,0.4006731,-0.4424546,0.6662583
0.3873122,0.4028154,-0.4397891,0.6696780
0.3889816,0.4049319,-0.4371245,0.6730808
0.3906511,0.4070222,-0.4344623,0.6764656
0.3923205,0.4090861,-0.4318042,0.6798309
0.3939900,0.4111235,-0.4291518,0.6831755
0.3956594,0.4131342,-0.4265066,0.6864982
0.3973289,0.4151184,-0.4238702,0.6897978
