# Sinusoidal end-effector reference trajectory
# amplitude_m    : 0.0250
# amplitude_cm   : 2.5
# n_waves        : 7
# ws_centre_m    : (0.42562, -0.24573)
# n_points       : 554
# arc_length_m   : 1.77936
# arc_length_cm  : 177.936
t,x_m,y_m,arc_length_m
0.0000000,-0.2025136,-0.5371106,0.0000000
0.0016694,-0.2017346,-0.5394545,0.0024700
0.0033389,-0.2009303,-0.5417836,0.0049340
0.0050083,-0.2000907,-0.5440929,0.0073913
0.0066778,-0.1992063,-0.5463777,0.0098412
0.0434057,-0.1552397,-0.5818585,0.0663385
0.0450751,-0.1518826,-0.5825480,0.0697657
0.0467446,-0.1484186,-0.5831516,0.0732819
0.0484140,-0.1448529,-0.5836711,0.0768853
0.0500835,-0.1411912,-0.5841085,0.0805730
0.0517529,-0.1374395,-0.5844662,0.0843417
0.0534224,-0.1336045,-0.5847469,0.0881869
0.0550918,-0.1296931,-0.5849537,0.0921039
0.0567613,-0.1257124,-0.5850900,0.0960869
0.0584307,-0.1216701,-0.5851595,0.1001298
0.0601002,-0.1175738,-0.5851663,0.1042260
0.0617696,-0.1134317,-0.5851146,0.1083685
0.0634391,-0.1092519,-0.5850090,0.1125496
0.0651085,-0.1050426,-0.5848541,0.1167617
0.0667780,-0.1008123,-0.5846550,0.1209967
0.0684474,-0.0965694,-0.5844167,0.1252464
0.0701169,-0.0923221,-0.5841446,0.1295023
0.0717863,-0.0880789,-0.5838440,0.1337561
0.0734558,-0.0838481,-0.5835205,0.1379994
0.0751252,-0.0796376,-0.5831795,0.1422236
0.0767947,-0.0754554,-0.5828267,0.1464207
0.0784641,-0.0713093,-0.5824676,0.1505823
0.0801336,-0.0672066,-0.5821079,0.1547008
0.0818030,-0.0631545,-0.5817530,0.1587684
0.0834725,-0.0591598,-0.5814083,0.1627779
0.0851419,-0.0552290,-0.5810792,0.1667225
0.0868114,-0.0513681,-0.5807708,0.1705957
0.0884808,-0.0475827,-0.5804882,0.1743915
0.0901503,-0.0438781,-0.5802360,0.1781047
0.0918197,-0.0402590,-0.5800190,0.1817304
0.0934891,-0.0367295,-0.5798414,0.1852643
0.0951586,-0.0332935,-0.5797072,0.1887030
0.0968280,-0.0299539,-0.5796202,0.1920436
0.0984975,-0.0267136,-0.5795838,0.1952842
0.1001669,-0.0235746,-0.5796011,0.1984232
0.1018364,-0.0205383,-0.5796748,0.2014604
0.1035058,-0.0176059,-0.5798072,0.2043958
0.1051753,-0.0147776,-0.5800003,0.2072307
0.1068447,-0.0120533,-0.5802556,0.2099670
0.1085142,-0.0094322,-0.5805742,0.2126073
0.1101836,-0.0069131,-0.5809567,0.2151553
0.1118531,-0.0044942,-0.5814036,0.2176151
0.1135225,-0.0021731,-0.5819145,0.2199918
0.1151920,0.0000531,-0.5824888,0.2222909
0.1168614,0.0021877,-0.5831255,0.2245184
0.1185309,0.0042346,-0.5838231,0.2266809
0.1202003,0.0061980,-0.5845797,0.2287851
0.1218698,0.0080828,-0.5853928,0.2308377
0.1235392,0.0098939,-0.5862597,0.2328457
0.1252087,0.0116370,-0.5871773,0.2348155
0.1268781,0.0133178,-0.5881419,0.2367534
0.1285476,0.0149425,-0.5891496,0.2386652
0.1302170,0.0165174,-0.5901961,0.2405562
0.1318865,0.0180493,-0.5912768,0.2424309
0.1335559,0.0195450,-0.5923867,0.2442934
0.1352254,0.0210115,-0.5935206,0.2461471
0.1368948,0.0224559,-0.5946729,0.2479949
0.1385643,0.0238855,-0.5958380,0.2498391
0.1402337,0.0253075,-0.5970099,0.2516818
0.1419032,0.0267292,-0.5981825,0.2535247
0.1435726,0.0281578,-0.5993496,0.2553694
0.1452421,0.0296005,-0.6005047,0.2572175
0.1469115,0.0310643,-0.6016415,0.2590709
0.1485810,0.0325562,-0.6027534,0.2609316
0.1502504,0.0340829,-0.6038339,0.2628020
0.1519199,0.0356508,-0.6048767,0.2646850
0.1535893,0.0372663,-0.6058753,0.2665841
0.1552588,0.0389352,-0.6068233,0.2685035
0.1569282,0.0406631,-0.6077147,0.2704479
0.1585977,0.0424555,-0.6085435,0.2724226
0.1602671,0.0443171,-0.6093039,0.2744335
0.1619366,0.0462525,-0.6099902,0.2764870
0.1636060,0.0482657,-0.6105973,0.2785897
0.1652755,0.0503604,-0.6111202,0.2807487
0.1669449,0.0525397,-0.6115543,0.2829708
0.1686144,0.0548062,-0.6118951,0.2852628
0.1702838,0.0571623,-0.6121390,0.2876315
0.1719533,0.0596094,-0.6122823,0.2900828
0.1736227,0.0621489,-0.6123220,0.2926226
0.1752922,0.0647814,-0.6122556,0.2952559
0.1769616,0.0675069,-0.6120809,0.2979870
0.1786311,0.0703251,-0.6117963,0.3008195
0.1803005,0.0732350,-0.6114007,0.3037562
0.1819699,0.0762353,-0.6108935,0.3067991
0.1836394,0.0793241,-0.6102745,0.3099493
0.1853088,0.0824989,-0.6095443,0.3132071
0.1869783,0.0857570,-0.6087038,0.3165718
0.1886477,0.0890949,-0.6077544,0.3200420
0.1903172,0.0925089,-0.6066983,0.3236157
0.1919866,0.0959949,-0.6055380,0.3272897
0.1936561,0.0995483,-0.6042765,0.3310604
0.1953255,0.1031643,-0.6029174,0.3349234
0.1969950,0.1068375,-0.6014646,0.3388735
0.1986644,0.1105626,-0.5999228,0.3429050
0.2003339,0.1143336,-0.5982969,0.3470116
0.2020033,0.1181445,-0.5965921,0.3511864
0.2036728,0.1219892,-0.5948144,0.3554223
0.2053422,0.1258613,-0.5929697,0.3597113
0.2070117,0.1297541,-0.5910646,0.3640453
0.2086811,0.1336613,-0.5891058,0.3684160
0.2103506,0.1375760,-0.5871003,0.3728145
0.2120200,0.1414917,-0.5850554,0.3772319
0.2136895,0.1454016,-0.5829786,0.3816592
0.2153589,0.1492993,-0.5808774,0.3860872
0.2170284,0.1531782,-0.5787596,0.3905066
0.2186978,0.1570321,-0.5766329,0.3949083
0.2203673,0.1608547,-0.5745052,0.3992832
0.2220367,0.1646402,-0.5723843,0.4036223
0.2237062,0.1683827,-0.5702779,0.4079169
0.2253756,0.1720768,-0.5681937,0.4121584
0.2270451,0.1757174,-0.5661391,0.4163387
0.2287145,0.1792996,-0.5641215,0.4204501
0.2303840,0.1828190,-0.5621479,0.4244851
0.2320534,0.1862715,-0.5602253,0.4284368
0.2337229,0.1896533,-0.5583600,0.4322989
0.2353923,0.1929612,-0.5565582,0.4360656
0.2370618,0.1961923,-0.5548258,0.4397319
0.2387312,0.1993441,-0.5531681,0.4432931
0.2404007,0.2024148,-0.5515900,0.4467456
0.2420701,0.2054029,-0.5500959,0.4500864
0.2437396,0.2083072,-0.5486897,0.4533132
0.2454090,0.2111273,-0.5473749,0.4564248
0.2470785,0.2138631,-0.5461542,0.4594205
0.2487479,0.2165149,-0.5450300,0.4623008
0.2504174,0.2190836,-0.5440039,0.4650668
0.2520868,0.2215704,-0.5430769,0.4677208
0.2537563,0.2239771,-0.5422496,0.4702657
0.2554257,0.2263059,-0.5415216,0.4727056
0.2570952,0.2285593,-0.5408924,0.4750452
0.2587646,0.2307402,-0.5403603,0.4772901
0.2604341,0.2328520,-0.5399235,0.4794466
0.2621035,0.2348984,-0.5395793,0.4815217
0.2637730,0.2368832,-0.5393244,0.4835229
0.2654424,0.2388110,-0.5391550,0.4854580
0.2671119,0.2406860,-0.5390668,0.4873352
0.2687813,0.2425132,-0.5390547,0.4891624
0.2704508,0.2442975,-0.5391134,0.4909477
0.2721202,0.2460441,-0.5392370,0.4926987
0.2737896,0.2477582,-0.5394191,0.4944224
0.2754591,0.2494453,-0.5396528,0.4961255
0.2771285,0.2511107,-0.5399309,0.4978140
0.2787980,0.2527599,-0.5402460,0.4994930
0.2804674,0.2543984,-0.5405900,0.5011673
0.2821369,0.2560317,-0.5409550,0.5028409
0.2838063,0.2576651,-0.5413325,0.5045173
0.2854758,0.2593039,-0.5417140,0.5062000
0.2871452,0.2609532,-0.5420908,0.5078918
0.2888147,0.2626180,-0.5424542,0.5095958
0.2904841,0.2643031,-0.5427954,0.5113150
0.2921536,0.2660130,-0.5431055,0.5130528
0.2938230,0.2677519,-0.5433758,0.5148127
0.2954925,0.2695240,-0.5435978,0.5165986
0.2971619,0.2713330,-0.5437629,0.5184150
0.2988314,0.2731821,-0.5438630,0.5202669
0.3005008,0.2750746,-0.5438899,0.5221596
0.3021703,0.2770131,-0.5438360,0.5240988
0.3038397,0.2789999,-0.5436940,0.5260907
0.3055092,0.2810371,-0.5434568,0.5281416
0.3071786,0.2831261,-0.5431179,0.5302580
0.3088481,0.2852681,-0.5426712,0.5324461
0.3105175,0.2874639,-0.5421112,0.5347122
0.3121870,0.2897139,-0.5414328,0.5370622
0.3138564,0.2920180,-0.5406314,0.5395017
0.3155259,0.2943758,-0.5397034,0.5420355
0.3171953,0.2967864,-0.5386453,0.5446682
0.3188648,0.2992487,-0.5374546,0.5474032
0.3205342,0.3017610,-0.5361292,0.5502437
0.3222037,0.3043215,-0.5346680,0.5531918
0.3238731,0.3069278,-0.5330703,0.5562488
0.3255426,0.3095774,-0.5313363,0.5594154
0.3272120,0.3122673,-0.5294666,0.5626913
0.3288815,0.3149944,-0.5274628,0.5660754
0.3305509,0.3177552,-0.5253270,0.5695659
0.3322204,0.3205461,-0.5230622,0.5731602
0.3338898,0.3233633,-0.5206718,0.5768548
0.3355593,0.3262026,-0.5181600,0.5806457
0.3372287,0.3290599,-0.5155316,0.5845280
0.3388982,0.3319309,-0.5127920,0.5884964
0.3405676,0.3348113,-0.5099472,0.5925448
0.3422371,0.3376966,-0.5070038,0.5966665
0.3439065,0.3405824,-0.5039689,0.6008544
0.3455760,0.3434643,-0.5008499,0.6051010
0.3472454,0.3463378,-0.4976550,0.6093981
0.3489149,0.3491988,-0.4943923,0.6137374
0.3505843,0.3520430,-0.4910709,0.6181103
0.3522538,0.3548664,-0.4876995,0.6225077
0.3539232,0.3576650,-0.4842877,0.6269205
0.3555927,0.3604353,-0.4808448,0.6313395
0.3572621,0.3631737,-0.4773806,0.6357553
0.3589316,0.3658770,-0.4739049,0.6401586
0.3606010,0.3685424,-0.4704274,0.6445401
0.3622705,0.3711671,-0.4669580,0.6488904
0.3639399,0.3737488,-0.4635065,0.6532007
0.3656093,0.3762856,-0.4600824,0.6574621
0.3672788,0.3787757,-0.4566953,0.6616660
0.3689482,0.3812179,-0.4533544,0.6658044
0.3706177,0.3836111,-0.4500687,0.6698693
0.3722871,0.3859550,-0.4468467,0.6738536
0.3739566,0.3882491,-0.4436968,0.6777504
0.3756260,0.3904938,-0.4406268,0.6815535
0.3772955,0.3926897,-0.4376441,0.6852574
0.3789649,0.3948375,-0.4347553,0.6888571
0.3806344,0.3969387,-0.4319670,0.6923485
0.3823038,0.3989949,-0.4292846,0.6957283
0.3839733,0.4010081,-0.4267133,0.6989940
0.3856427,0.4029807,-0.4242574,0.7021440
0.3873122,0.4049152,-0.4219206,0.7051776
0.3889816,0.4068147,-0.4197059,0.7080953
0.3906511,0.4086822,-0.4176155,0.7108984
0.3923205,0.4105214,-0.4156508,0.7135896
0.3939900,0.4123357,-0.4138126,0.7161724
0.3956594,0.4141292,-0.4121008,0.7186517
0.3973289,0.4159057,-0.4105144,0.7210334
0.3989983,0.4176694,-0.4090519,0.7233246
0.4006678,0.4194246,-0.4077108,0.7255335
0.4023372,0.4211754,-0.4064879,0.7276691
0.4040067,0.4229262,-0.4053793,0.7297413
0.4056761,0.4246811,-0.4043803,0.7317608
0.4073456,0.4264446,-0.4034855,0.7337382
0.4090150,0.4282205,-0.4026888,0.7356847
