# Sinusoidal end-effector reference trajectory
# amplitude_m    : 0.0200
# amplitude_cm   : 2.0
# n_waves        : 5
# ws_centre_m    : (0.42562, -0.24573)
# n_points       : 592
# arc_length_m   : 1.71568
# arc_length_cm  : 171.568
t,x_m,y_m,arc_length_m
0.0000000,-0.2025136,-0.5371106,0.0000000
0.0016694,-0.2009897,-0.5391057,0.0025106
0.0033389,-0.1994515,-0.5410848,0.0050171
0.0050083,-0.1978962,-0.5430465,0.0075206
0.0066778,-0.1963210,-0.5449894,0.0100218
0.0083472,-0.1947233,-0.5469119,0.0125216
0.0100167,-0.1931004,-0.5488127,0.0150209
0.0116861,-0.1914498,-0.5506903,0.0175209
0.0133556,-0.1897691,-0.5525433,0.0200225
0.0150250,-0.1880560,-0.5543701,0.0225269
0.0166945,-0.1863082,-0.5561694,0.0250353
0.0183639,-0.1845237,-0.5579397,0.0275490
0.0200334,-0.1827004,-0.5596797,0.0300693
0.0217028,-0.1808365,-0.5613879,0.0325976
0.0233723,-0.1789301,-0.5630630,0.0351354
0.0250417,-0.1769797,-0.5647038,0.0376841
0.0267112,-0.1749838,-0.5663088,0.0402453
0.0283806,-0.1729410,-0.5678769,0.0428206
0.0300501,-0.1708500,-0.5694069,0.0454115
0.0317195,-0.1687098,-0.5708976,0.0480197
0.0333890,-0.1665193,-0.5723479,0.0506468
0.0350584,-0.1642778,-0.5737569,0.0532944
0.0367279,-0.1619845,-0.5751234,0.0559640
0.0383973,-0.1596389,-0.5764467,0.0586571
0.0400668,-0.1572406,-0.5777258,0.0613752
0.0417362,-0.1547893,-0.5789600,0.0641197
0.0434057,-0.1522848,-0.5801486,0.0668919
0.0450751,-0.1497271,-0.5812908,0.0696930
0.0467446,-0.1471165,-0.5823862,0.0725241
0.0484140,-0.1444531,-0.5834343,0.0753863
0.0500835,-0.1417373,-0.5844345,0.0782805
0.0517529,-0.1389697,-0.5853867,0.0812073
0.0534224,-0.1361509,-0.5862906,0.0841674
0.0550918,-0.1332818,-0.5871459,0.0871614
0.0567613,-0.1303631,-0.5879526,0.0901895
0.0584307,-0.1273959,-0.5887107,0.0932519
0.0601002,-0.1243815,-0.5894203,0.0963488
0.0617696,-0.1213209,-0.5900816,0.0994800
0.0634391,-0.1182155,-0.5906948,0.1026453
0.0651085,-0.1150669,-0.5912602,0.1058443
0.0667780,-0.1118765,-0.5917783,0.1090765
0.0684474,-0.1086461,-0.5922495,0.1123411
0.0701169,-0.1053773,-0.5926746,0.1156375
0.0717863,-0.1020719,-0.5930541,0.1189645
0.0734558,-0.0987319,-0.5933888,0.1223212
0.0751252,-0.0953593,-0.5936796,0.1257064
0.0767947,-0.0919560,-0.5939273,0.1291187
0.0784641,-0.0885241,-0.5941330,0.1325567
0.0801336,-0.0850659,-0.5942977,0.1360188
0.0818030,-0.0815836,-0.5944225,0.1395035
0.0834725,-0.0780793,-0.5945087,0.1430088
0.0851419,-0.0745553,-0.5945575,0.1465331
0.0868114,-0.0710141,-0.5945703,0.1500743
0.0884808,-0.0674579,-0.5945484,0.1536306
0.0901503,-0.0638891,-0.5944933,0.1571998
0.0918197,-0.0603101,-0.5944065,0.1607799
0.0934891,-0.0567232,-0.5942895,0.1643687
0.0951586,-0.0531309,-0.5941440,0.1679639
0.0968280,-0.0495356,-0.5939716,0.1715634
0.0984975,-0.0459396,-0.5937739,0.1751648
0.1001669,-0.0423453,-0.5935527,0.1787659
0.1018364,-0.0387550,-0.5933097,0.1823645
0.1035058,-0.0351710,-0.5930467,0.1859581
0.1051753,-0.0315956,-0.5927655,0.1895445
0.1068447,-0.0280310,-0.5924678,0.1931215
0.1085142,-0.0244795,-0.5921555,0.1966867
0.1101836,-0.0209431,-0.5918304,0.2002380
0.1118531,-0.0174239,-0.5914943,0.2037732
0.1135225,-0.0139240,-0.5911490,0.2072901
0.1151920,-0.0104453,-0.5907964,0.2107866
0.1168614,-0.0069897,-0.5904382,0.2142608
0.1185309,-0.0035590,-0.5900762,0.2177105
0.1202003,-0.0001548,-0.5897121,0.2211341
0.1218698,0.0032211,-0.5893478,0.2245296
0.1235392,0.0065672,-0.5889848,0.2278953
0.1252087,0.0098820,-0.5886248,0.2312296
0.1268781,0.0131642,-0.5882694,0.2345310
0.1285476,0.0164125,-0.5879203,0.2377981
0.1302170,0.0196258,-0.5875788,0.2410294
0.1318865,0.0228030,-0.5872465,0.2442239
0.1335559,0.0259431,-0.5869248,0.2473805
0.1352254,0.0290453,-0.5866150,0.2504981
0.1368948,0.0321088,-0.5863183,0.2535760
0.1385643,0.0351331,-0.5860359,0.2566134
0.1402337,0.0381176,-0.5857689,0.2596098
0.1419032,0.0410618,-0.5855185,0.2625647
0.1435726,0.0439657,-0.5852854,0.2654779
0.1452421,0.0468289,-0.5850707,0.2683491
0.1469115,0.0496514,-0.5848750,0.2711784
0.1485810,0.0524332,-0.5846990,0.2739658
0.1502504,0.0551746,-0.5845433,0.2767116
0.1519199,0.0578759,-0.5844084,0.2794162
0.1535893,0.0605373,-0.5842946,0.2820801
0.1552588,0.0631594,-0.5842023,0.2847038
0.1569282,0.0657429,-0.5841317,0.2872883
0.1585977,0.0682884,-0.5840828,0.2898342
0.1602671,0.0707967,-0.5840555,0.2923427
0.1619366,0.0732688,-0.5840498,0.2948148
0.1636060,0.0757057,-0.5840655,0.2972517
