# Sinusoidal end-effector reference trajectory
# amplitude_m    : 0.0200
# amplitude_cm   : 2.0
# n_waves        : 7
# ws_centre_m    : (0.42562, -0.24573)
# n_points       : 569
# arc_length_m   : 1.74545
# arc_length_cm  : 174.545
t,x_m,y_m,arc_length_m
0.0000000,-0.2025136,-0.5371106,0.0000000
0.0016694,-0.2013868,-0.5392916,0.0024549
0.0033389,-0.2002384,-0.5414566,0.0049057
0.0050083,-0.1990606,-0.5436018,0.0073529
0.0066778,-0.1978457,-0.5457230,0.0097974
0.0083472,-0.1965864,-0.5478165,0.0122404
0.0100167,-0.1952755,-0.5498782,0.0146836
0.0116861,-0.1939064,-0.5519044,0.0171290
0.0333890,-0.1685452,-0.5734654,0.0504166
0.0350584,-0.1659094,-0.5746641,0.0533123
0.0367279,-0.1631716,-0.5757889,0.0562720
0.0383973,-0.1603334,-0.5768391,0.0592984
0.0400668,-0.1573965,-0.5778146,0.0623930
0.0417362,-0.1543633,-0.5787155,0.0655571
0.0434057,-0.1512367,-0.5795421,0.0687912
0.0450751,-0.1480200,-0.5802952,0.0720948
0.0467446,-0.1447170,-0.5809758,0.0754673
0.0484140,-0.1413317,-0.5815852,0.0789070
0.0500835,-0.1378688,-0.5821251,0.0824117
0.0517529,-0.1343331,-0.5825974,0.0859788
0.0534224,-0.1307299,-0.5830042,0.0896049
0.0550918,-0.1270648,-0.5833481,0.0932861
0.0567613,-0.1233435,-0.5836319,0.0970182
0.0584307,-0.1195722,-0.5838584,0.1007963
0.0601002,-0.1157569,-0.5840310,0.1046155
0.0617696,-0.1119043,-0.5841530,0.1084701
0.0634391,-0.1080207,-0.5842280,0.1123543
0.0651085,-0.1041129,-0.5842600,0.1162623
0.0667780,-0.1001876,-0.5842528,0.1201876
0.0684474,-0.0962515,-0.5842105,0.1241240
0.0701169,-0.0923112,-0.5841375,0.1280649
0.0717863,-0.0883736,-0.5840380,0.1320037
0.0734558,-0.0844452,-0.5839164,0.1359340
0.0751252,-0.0805325,-0.5837772,0.1398492
0.0767947,-0.0766419,-0.5836249,0.1437428
0.0784641,-0.0727794,-0.5834638,0.1476086
0.0801336,-0.0689512,-0.5832986,0.1514405
0.0818030,-0.0651628,-0.5831336,0.1552324
0.0834725,-0.0614198,-0.5829732,0.1589788
0.0851419,-0.0577274,-0.5828216,0.1626743
0.0868114,-0.0540905,-0.5826830,0.1663139
0.0884808,-0.0505134,-0.5825614,0.1698931
0.0901503,-0.0470005,-0.5824606,0.1734074
0.0918197,-0.0435554,-0.5823843,0.1768534
0.0934891,-0.0401816,-0.5823360,0.1802275
0.0951586,-0.0368821,-0.5823188,0.1835270
0.0968280,-0.0336594,-0.5823359,0.1867498
0.0984975,-0.0305156,-0.5823900,0.1898940
0.1001669,-0.0274524,-0.5824834,0.1929586
0.1018364,-0.0244711,-0.5826185,0.1959430
0.1035058,-0.0215725,-0.5827970,0.1988472
0.1051753,-0.0187568,-0.5830206,0.2016717
0.1068447,-0.0160239,-0.5832904,0.2044179
0.1085142,-0.0133733,-0.5836075,0.2070874
0.1101836,-0.0108040,-0.5839722,0.2096825
0.1118531,-0.0083145,-0.5843850,0.2122060
0.1135225,-0.0059029,-0.5848455,0.2146611
0.1151920,-0.0035670,-0.5853534,0.2170516
0.1168614,-0.0013041,-0.5859078,0.2193814
0.1185309,0.0008889,-0.5865075,0.2216549
0.1202003,0.0030154,-0.5871509,0.2238766
0.1218698,0.0050791,-0.5878363,0.2260512
0.1235392,0.0070842,-0.5885613,0.2281833
0.1252087,0.0090350,-0.5893234,0.2302777
0.1268781,0.0109361,-0.5901198,0.2323389
0.1285476,0.0127926,-0.5909474,0.2343714
0.1302170,0.0146094,-0.5918027,0.2363795
0.1318865,0.0163919,-0.5926820,0.2383671
0.1335559,0.0181455,-0.5935814,0.2403379
0.1352254,0.0198759,-0.5944967,0.2422955
0.1368948,0.0215888,-0.5954234,0.2442430
0.1385643,0.0232898,-0.5963571,0.2461834
0.1402337,0.0249849,-0.5972930,0.2481197
0.1419032,0.0266797,-0.5982262,0.2500545
0.1435726,0.0283802,-0.5991517,0.2519905
0.1452421,0.0300919,-0.6000645,0.2539303
0.1469115,0.0318206,-0.6009593,0.2558769
0.1485810,0.0335717,-0.6018310,0.2578330
0.1502504,0.0353506,-0.6026745,0.2598017
0.1519199,0.0371625,-0.6034845,0.2617864
0.1535893,0.0390123,-0.6042560,0.2637907
0.1552588,0.0409049,-0.6049840,0.2658184
0.1569282,0.0428446,-0.6056634,0.2678737
0.1585977,0.0448358,-0.6062897,0.2699611
0.1602671,0.0468822,-0.6068580,0.2720850
0.1619366,0.0489876,-0.6073640,0.2742503
0.1636060,0.0511551,-0.6078036,0.2764619
0.1652755,0.0533876,-0.6081726,0.2787247
0.1669449,0.0556877,-0.6084675,0.2810436
0.1686144,0.0580574,-0.6086847,0.2834232
0.1702838,0.0604985,-0.6088213,0.2858682
0.1719533,0.0630123,-0.6088744,0.2883825
0.1736227,0.0655997,-0.6088416,0.2909702
0.1752922,0.0682613,-0.6087209,0.2936345
0.1769616,0.0709971,-0.6085105,0.2963783
0.1786311,0.0738067,-0.6082091,0.2992041
0.1803005,0.0766895,-0.6078160,0.3021136
0.1819699,0.0796443,-0.6073305,0.3051080
0.1836394,0.0826696,-0.6067527,0.3081880
0.1853088,0.0857634,-0.6060829,0.3113535
0.1869783,0.0889235,-0.6053220,0.3146038
0.1886477,0.0921471,-0.6044710,0.3179379
0.1903172,0.0954312,-0.6035317,0.3213537
0.1919866,0.0987725,-0.6025060,0.3248489
0.1936561,0.1021675,-0.6013965,0.3284205
0.1953255,0.1056120,-0.6002060,0.3320650
0.1969950,0.1091019,-0.5989378,0.3357782
0.1986644,0.1126329,-0.5975954,0.3395557
0.2003339,0.1162001,-0.5961828,0.3433925
0.2020033,0.1197989,-0.5947043,0.3472832
0.2036728,0.1234242,-0.5931645,0.3512219
0.2053422,0.1270710,-0.5915684,0.3552026
0.2070117,0.1307338,-0.5899211,0.3592189
0.2086811,0.1344076,-0.5882280,0.3632640
0.2103506,0.1380869,-0.5864948,0.3673311
0.2120200,0.1417664,-0.5847273,0.3714131
0.2136895,0.1454408,-0.5829314,0.3755029
0.2153589,0.1491048,-0.5811133,0.3795932
0.2170284,0.1527533,-0.5792791,0.3836768
0.2186978,0.1563811,-0.5774350,0.3877463
0.2203673,0.1599832,-0.5755874,0.3917947
0.2220367,0.1635550,-0.5737425,0.3958148
0.2237062,0.1670918,-0.5719065,0.3997998
0.2253756,0.1705893,-0.5700855,0.4037429
0.2270451,0.1740433,-0.5682855,0.4076378
0.2287145,0.1774498,-0.5665125,0.4114782
0.2303840,0.1808055,-0.5647720,0.4152583
0.2320534,0.1841068,-0.5630695,0.4189728
0.2337229,0.1873510,-0.5614103,0.4226166
0.2353923,0.1905352,-0.5597993,0.4261852
0.2370618,0.1936573,-0.5582411,0.4296745
0.2387312,0.1967152,-0.5567400,0.4330809
0.2404007,0.1997074,-0.5553000,0.4364016
0.2420701,0.2026327,-0.5539247,0.4396341
0.2437396,0.2054902,-0.5526171,0.4427766
0.2454090,0.2082795,-0.5513799,0.4458279
0.2470785,0.2110004,-0.5502156,0.4487875
0.2487479,0.2136534,-0.5491258,0.4516556
0.2504174,0.2162390,-0.5481120,0.4544328
0.2520868,0.2187582,-0.5471749,0.4571207
0.2537563,0.2212125,-0.5463151,0.4597212
0.2554257,0.2236034,-0.5455322,0.4622371
0.2570952,0.2259332,-0.5448258,0.4646716
0.2587646,0.2282040,-0.5441947,0.4670285
0.2604341,0.2304186,-0.5436372,0.4693122
0.2621035,0.2325799,-0.5431514,0.4715274
0.2637730,0.2346910,-0.5427346,0.4736793
0.2654424,0.2367554,-0.5423837,0.4757733
0.2671119,0.2387767,-0.5420953,0.4778150
0.2687813,0.2407587,-0.5418654,0.4798103
0.2704508,0.2427053,-0.5416897,0.4817649
0.2721202,0.2446208,-0.5415634,0.4836845
0.2737896,0.2465092,-0.5414815,0.4855747
0.2754591,0.2483749,-0.5414385,0.4874409
0.2771285,0.2502222,-0.5414287,0.4892882
0.2787980,0.2520555,-0.5414460,0.4911216
0.2804674,0.2538792,-0.5414842,0.4929457
0.2821369,0.2556976,-0.5415367,0.4947648
0.2838063,0.2575149,-0.5415968,0.4965832
0.2854758,0.2593355,-0.5416578,0.4984047
0.2871452,0.2611633,-0.5417127,0.5002334
0.2888147,0.2630024,-0.5417545,0.5020730
0.2904841,0.2648566,-0.5417762,0.5039272
0.2921536,0.2667294,-0.5417707,0.5058001
0.2938230,0.2686243,-0.5417311,0.5076954
0.2954925,0.2705445,-0.5416504,0.5096173
0.2971619,0.2724930,-0.5415220,0.5115701
0.2988314,0.2744725,-0.5413392,0.5135580
0.3005008,0.2764855,-0.5410957,0.5155856
0.3021703,0.2785339,-0.5407852,0.5176575
0.3038397,0.2806199,-0.5404019,0.5197783
0.3055092,0.2827448,-0.5399402,0.5219528
0.3071786,0.2849099,-0.5393949,0.5241856
0.3088481,0.2871162,-0.5387612,0.5264811
0.3105175,0.2893643,-0.5380345,0.5288436
0.3121870,0.2916543,-0.5372108,0.5312773
0.3138564,0.2939864,-0.5362867,0.5337858
0.3155259,0.2963600,-0.5352589,0.5363724
0.3171953,0.2987747,-0.5341248,0.5390401
0.3188648,0.3012293,-0.5328825,0.5417912
0.3205342,0.3037225,-0.5315303,0.5446276
0.3222037,0.3062530,-0.5300672,0.5475505
0.3238731,0.3088187,-0.5284927,0.5505608
0.3255426,0.3114176,-0.5268070,0.5536586
0.3272120,0.3140475,-0.5250106,0.5568434
0.3288815,0.3167056,-0.5231048,0.5601142
0.3305509,0.3193893,-0.5210912,0.5634693
0.3322204,0.3220957,-0.5189723,0.5669065
0.3338898,0.3248216,-0.5167508,0.5704230
0.3355593,0.3275638,-0.5144300,0.5740154
0.3372287,0.3303189,-0.5120138,0.5776799
0.3388982,0.3330835,-0.5095066,0.5814121
0.3405676,0.3358541,-0.5069131,0.5852071
0.3422371,0.3386271,-0.5042387,0.5890597
0.3439065,0.3413991,-0.5014889,0.5929642
0.3455760,0.3441663,-0.4986698,0.5969145
0.3472454,0.3469254,-0.4957878,0.6009043
0.3489149,0.3496729,-0.4928497,0.6049268
0.3505843,0.3524054,-0.4898624,0.6089753
0.3522538,0.3551197,-0.4868333,0.6130427
0.3539232,0.3578126,-0.4837696,0.6171216
0.3555927,0.3604812,-0.4806791,0.6212048
0.3572621,0.3631227,-0.4775696,0.6252849
0.3589316,0.3657346,-0.4744488,0.6293545
0.3606010,0.3683145,-0.4713246,0.6334062
0.3622705,0.3708602,-0.4682049,0.6374327
0.3639399,0.3733699,-0.4650974,0.6414271
0.3656093,0.3758419,-0.4620100,0.6453822
0.3672788,0.3782750,-0.4589502,0.6492915
0.3689482,0.3806681,-0.4559253,0.6531485
0.3706177,0.3830203,-0.4529426,0.6569471
0.3722871,0.3853313,-0.4500091,0.6606816
0.3739566,0.3876008,-0.4471312,0.6643467
0.3756260,0.3898291,-0.4443153,0.6679376
0.3772955,0.3920165,-0.4415672,0.6714499
0.3789649,0.3941638,-0.4388925,0.6748799
0.3806344,0.3962720,-0.4362962,0.6782244
0.3823038,0.3983425,-0.4337827,0.6814808
0.3839733,0.4003767,-0.4313562,0.6846472
0.3856427,0.4023767,-0.4290202,0.6877224
0.3873122,0.4043445,-0.4267776,0.6907060
0.3889816,0.4062823,-0.4246308,0.6935981
0.3906511,0.4081929,-0.4225815,0.6963998
0.3923205,0.4100789,-0.4206310,0.6991130
0.3939900,0.4119432,-0.4187798,0.7017403
0.3956594,0.4137889,-0.4170278,0.7042851
0.3973289,0.4156192,-0.4153744,0.7067516
0.3989983,0.4174374,-0.4138183,0.7091448
0.4006678,0.4192468,-0.4123575,0.7114703
0.4023372,0.4210509,-0.4109894,0.7137345
0.4040067,0.4228531,-0.4097110,0.7159440
0.4056761,0.4246567,-0.4085185,0.7181062
0.4073456,0.4264651,-0.4074075,0.7202286
0.4090150,0.4282816,-0.4063733,0.7223189
0.4106845,0.4301094,-0.4054104,0.7243848
0.4123539,0.4319515,-0.4045130,0.7264339
0.4140234,0.4338108,-0.4036747,0.7284734
0.4156928,0.4356898,-0.4028888,0.7305102
0.4173623,0.4375912,-0.4021481,0.7325507
0.4190317,0.4395169,-0.4014451,0.7346007
0.4207012,0.4414689,-0.4007720,0.7366655
0.4223706,0.4434487,-0.4001207,0.7387497
0.4240401,0.4454576,-0.3994829,0.7408574
0.4257095,0.4474964,-0.3988500,0.7429922
0.4273790,0.4495655,-0.3982136,0.7451570
0.4290484,0.4516652,-0.3975650,0.7473545
0.4307179,0.4537949,-0.3968955,0.7495870
0.4323873,0.4559540,-0.3961965,0.7518564
0.4340568,0.4581411,-0.3954595,0.7541644
0.4357262,0.4603547,-0.3946761,0.7565126
0.4373957,0.4625927,-0.3938383,0.7589022
0.4390651,0.4648524,-0.3929381,0.7613346
0.4407346,0.4671308,-0.3919680,0.7638109
0.4424040,0.4694245,-0.3909210,0.7663323
0.4440735,0.4717297,-0.3897904,0.7688998
0.4457429,0.4740419,-0.3885698,0.7715144
0.4474124,0.4763565,-0.3872539,0.7741769
0.4490818,0.4786684,-0.3858375,0.7768883
0.4507513,0.4809724,-0.3843162,0.7796491
0.4524207,0.4832626,-0.3826864,0.7824601
0.4540902,0.4855331,-0.3809452,0.7853214
0.4557596,0.4877779,-0.3790903,0.7882334
0.4574290,0.4899905,-0.3771204,0.7911958
0.4590985,0.4921646,-0.3750350,0.7942083
0.4607679,0.4942936,-0.3728344,0.7972703
0.4624374,0.4963711,-0.3705196,0.8003806
0.4641068,0.4983908,-0.3680928,0.8035379
0.4657763,0.5003463,-0.3655567,0.8067404
0.4674457,0.5022317,-0.3629152,0.8099858
0.4691152,0.5040414,-0.3601727,0.8132715
0.4707846,0.5057698,-0.3573345,0.8165946
0.4724541,0.5074122,-0.3544069,0.8199514
0.4741235,0.5089641,-0.3513965,0.8233383
0.4757930,0.5104218,-0.3483108,0.8267510
0.4774624,0.5117822,-0.3451580,0.8301848
0.4791319,0.5130427,-0.3419464,0.8336349
0.4808013,0.5142019,-0.3386851,0.8370960
0.4824708,0.5152588,-0.3353835,0.8405627
0.4841402,0.5162135,-0.3320511,0.8440292
0.4858097,0.5170670,-0.3286975,0.8474897
0.4874791,0.5178211,-0.3253325,0.8509382
