# Sinusoidal end-effector reference trajectory
# amplitude_m    : 0.0250
# amplitude_cm   : 2.5
# n_waves        : 5
# ws_centre_m    : (0.42562, -0.24573)
# n_points       : 557
# arc_length_m   : 1.73301
# arc_length_cm  : 173.301
t,x_m,y_m,arc_length_m
0.0000000,-0.2025136,-0.5371106,0.0000000
0.0016694,-0.2012383,-0.5392221,0.0024668
0.0033389,-0.1999466,-0.5413188,0.0049294
0.0050083,-0.1986351,-0.5433989,0.0073884
0.0066778,-0.1973003,-0.5454606,0.0098445
0.0083472,-0.1959388,-0.5475021,0.0122984
0.0100167,-0.1945472,-0.5495215,0.0147508
0.0116861,-0.1931226,-0.5515170,0.0172027
0.0133556,-0.1916617,-0.5534868,0.0196551
0.0150250,-0.1901617,-0.5554291,0.0221092
0.0450751,-0.1540165,-0.5837925,0.0680543
0.0467446,-0.1514180,-0.5849147,0.0708848
0.0484140,-0.1487546,-0.5859824,0.0737542
0.0500835,-0.1460269,-0.5869953,0.0766640
0.0517529,-0.1432353,-0.5879529,0.0796152
0.0534224,-0.1403808,-0.5888548,0.0826088
0.0550918,-0.1374643,-0.5897008,0.0856456
0.0567613,-0.1344869,-0.5904909,0.0887260
0.0584307,-0.1314498,-0.5912249,0.0918505
0.0601002,-0.1283545,-0.5919030,0.0950192
0.0617696,-0.1252024,-0.5925254,0.0982321
0.0634391,-0.1219954,-0.5930924,0.1014889
0.0651085,-0.1187351,-0.5936044,0.1047892
0.0667780,-0.1154235,-0.5940618,0.1081322
0.0684474,-0.1120626,-0.5944655,0.1115172
0.0701169,-0.1086547,-0.5948160,0.1149432
0.0717863,-0.1052018,-0.5951142,0.1184089
0.0734558,-0.1017065,-0.5953610,0.1219129
0.0751252,-0.0981710,-0.5955575,0.1254538
0.0767947,-0.0945981,-0.5957048,0.1290298
0.0784641,-0.0909902,-0.5958041,0.1326391
0.0801336,-0.0873501,-0.5958567,0.1362796
0.0818030,-0.0836804,-0.5958641,0.1399492
0.0834725,-0.0799841,-0.5958277,0.1436458
0.0851419,-0.0762638,-0.5957491,0.1473668
0.0868114,-0.0725226,-0.5956299,0.1511099
0.0884808,-0.0687633,-0.5954719,0.1548725
0.0901503,-0.0649889,-0.5952769,0.1586520
0.0918197,-0.0612023,-0.5950467,0.1624456
0.0934891,-0.0574065,-0.5947833,0.1662505
0.0951586,-0.0536045,-0.5944886,0.1700639
0.0968280,-0.0497992,-0.5941648,0.1738830
0.0984975,-0.0459936,-0.5938137,0.1777047
0.1001669,-0.0421906,-0.5934377,0.1815263
0.1018364,-0.0383931,-0.5930389,0.1853447
0.1035058,-0.0346040,-0.5926194,0.1891569
0.1051753,-0.0308261,-0.5921814,0.1929601
0.1068447,-0.0270622,-0.5917273,0.1967513
0.1085142,-0.0233149,-0.5912592,0.2005277
0.1101836,-0.0195870,-0.5907794,0.2042863
0.1118531,-0.0158811,-0.5902902,0.2080245
0.1135225,-0.0121995,-0.5897938,0.2117393
0.1151920,-0.0085449,-0.5892925,0.2154282
0.1168614,-0.0049193,-0.5887885,0.2190886
0.1185309,-0.0013253,-0.5882840,0.2227179
0.1202003,0.0022353,-0.5877812,0.2263138
0.1218698,0.0057602,-0.5872822,0.2298739
0.1235392,0.0092477,-0.5867891,0.2333960
0.1252087,0.0126958,-0.5863040,0.2368781
0.1268781,0.0161029,-0.5858289,0.2403181
0.1285476,0.0194674,-0.5853657,0.2437144
0.1302170,0.0227880,-0.5849163,0.2470653
0.1318865,0.0260632,-0.5844825,0.2503691
0.1335559,0.0292920,-0.5840660,0.2536246
0.1352254,0.0324732,-0.5836684,0.2568305
0.1368948,0.0356060,-0.5832914,0.2599859
0.1385643,0.0386895,-0.5829365,0.2630899
0.1402337,0.0417233,-0.5826048,0.2661417
0.1419032,0.0447068,-0.5822979,0.2691409
0.1435726,0.0476396,-0.5820167,0.2720872
0.1452421,0.0505217,-0.5817625,0.2749805
0.1469115,0.0533528,-0.5815361,0.2778206
0.1485810,0.0561331,-0.5813383,0.2806080
0.1502504,0.0588629,-0.5811699,0.2833430
0.1519199,0.0615425,-0.5810315,0.2860261
0.1535893,0.0641724,-0.5809235,0.2886583
0.1552588,0.0667533,-0.5808463,0.2912403
0.1569282,0.0692859,-0.5808001,0.2937733
0.1585977,0.0717712,-0.5807849,0.2962587
0.1602671,0.0742102,-0.5808008,0.2986977
0.1619366,0.0766040,-0.5808475,0.3010919
0.1636060,0.0789539,-0.5809247,0.3034431
0.1652755,0.0812614,-0.5810320,0.3057531
0.1669449,0.0835279,-0.5811688,0.3080237
0.1686144,0.0857550,-0.5813344,0.3102570
0.1702838,0.0879446,-0.5815279,0.3124551
0.1719533,0.0900982,-0.5817484,0.3146200
0.1736227,0.0922180,-0.5819948,0.3167541
0.1752922,0.0943059,-0.5822658,0.3188595
0.1769616,0.0963639,-0.5825602,0.3209384
0.1786311,0.0983941,-0.5828764,0.3229931
0.1803005,0.1003988,-0.5832128,0.3250259
0.1819699,0.1023803,-0.5835678,0.3270389
0.1836394,0.1043408,-0.5839396,0.3290343
0.1853088,0.1062827,-0.5843263,0.3310143
0.1869783,0.1082084,-0.5847257,0.3329810
0.1886477,0.1101202,-0.5851360,0.3349364
0.1903172,0.1120208,-0.5855548,0.3368825
0.1919866,0.1139124,-0.5859799,0.3388213
0.1936561,0.1157976,-0.5864089,0.3407547
0.1953255,0.1176788,-0.5868395,0.3426846
0.1969950,0.1195586,-0.5872691,0.3446128
0.1986644,0.1214392,-0.5876952,0.3465411
0.2003339,0.1233232,-0.5881151,0.3484713
0.2020033,0.1252129,-0.5885264,0.3504053
0.2036728,0.1271107,-0.5889262,0.3523447
0.2053422,0.1290189,-0.5893120,0.3542915
0.2070117,0.1309396,-0.5896809,0.3562474
0.2086811,0.1328753,-0.5900302,0.3582143
0.2103506,0.1348278,-0.5903572,0.3601940
0.2120200,0.1367994,-0.5906592,0.3621886
0.2136895,0.1387919,-0.5909335,0.3641999
0.2153589,0.1408073,-0.5911772,0.3662300
0.2170284,0.1428474,-0.5913878,0.3682809
0.2186978,0.1449139,-0.5915627,0.3703548
0.2203673,0.1470083,-0.5916991,0.3724537
0.2220367,0.1491323,-0.5917946,0.3745798
0.2237062,0.1512872,-0.5918467,0.3767353
0.2253756,0.1534742,-0.5918529,0.3789223
0.2270451,0.1556946,-0.5918110,0.3811431
0.2287145,0.1579493,-0.5917186,0.3833997
0.2303840,0.1602394,-0.5915736,0.3856944
0.2320534,0.1625655,-0.5913739,0.3880291
0.2337229,0.1649285,-0.5911176,0.3904059
0.2353923,0.1673287,-0.5908027,0.3928267
0.2370618,0.1697666,-0.5904276,0.3952933
0.2387312,0.1722426,-0.5899906,0.3978075
0.2404007,0.1747566,-0.5894902,0.4003709
0.2420701,0.1773088,-0.5889251,0.4029849
0.2437396,0.1798990,-0.5882940,0.4056509
0.2454090,0.1825270,-0.5875960,0.4083700
0.2470785,0.1851924,-0.5868300,0.4111432
0.2487479,0.1878946,-0.5859953,0.4139714
0.2504174,0.1906330,-0.5850912,0.4168553
0.2520868,0.1934070,-0.5841174,0.4197952
0.2537563,0.1962155,-0.5830734,0.4227914
0.2554257,0.1990576,-0.5819593,0.4258441
0.2570952,0.2019322,-0.5807750,0.4289531
0.2587646,0.2048380,-0.5795206,0.4321181
0.2604341,0.2077738,-0.5781966,0.4353386
0.2621035,0.2107381,-0.5768035,0.4386139
0.2637730,0.2137293,-0.5753420,0.4419432
0.2654424,0.2167460,-0.5738128,0.4453253
0.2671119,0.2197864,-0.5722171,0.4487590
0.2687813,0.2228487,-0.5705558,0.4522429
0.2704508,0.2259312,-0.5688305,0.4557754
0.2721202,0.2290319,-0.5670425,0.4593546
0.2737896,0.2321489,-0.5651935,0.4629788
0.2754591,0.2352801,-0.5632852,0.4666457
0.2771285,0.2384236,-0.5613196,0.4703531
0.2787980,0.2415772,-0.5592987,0.4740987
0.2804674,0.2447388,-0.5572248,0.4778798
0.2821369,0.2479062,-0.5551000,0.4816939
0.2838063,0.2510774,-0.5529270,0.4855382
0.2854758,0.2542500,-0.5507081,0.4894097
0.2871452,0.2574220,-0.5484462,0.4933055
0.2888147,0.2605911,-0.5461440,0.4972226
0.2904841,0.2637551,-0.5438044,0.5011577
0.2921536,0.2669121,-0.5414303,0.5051077
0.2938230,0.2700597,-0.5390247,0.5090693
0.2954925,0.2731960,-0.5365909,0.5130392
0.2971619,0.2763188,-0.5341319,0.5170140
0.2988314,0.2794262,-0.5316510,0.5209903
0.3005008,0.2825163,-0.5291515,0.5249647
0.3021703,0.2855871,-0.5266367,0.5289338
0.3038397,0.2886367,-0.5241099,0.5328942
0.3055092,0.2916636,-0.5215746,0.5368426
0.3071786,0.2946659,-0.5190340,0.5407756
0.3088481,0.2976421,-0.5164917,0.5446899
0.3105175,0.3005907,-0.5139508,0.5485822
0.3121870,0.3035103,-0.5114149,0.5524493
0.3138564,0.3063994,-0.5088871,0.5562882
0.3155259,0.3092571,-0.5063709,0.5600957
0.3171953,0.3120820,-0.5038694,0.5638691
0.3188648,0.3148733,-0.5013857,0.5676053
0.3205342,0.3176300,-0.4989231,0.5713018
0.3222037,0.3203513,-0.4964845,0.5749559
0.3238731,0.3230366,-0.4940729,0.5785651
0.3255426,0.3256854,-0.4916911,0.5821273
0.3272120,0.3282971,-0.4893419,0.5856401
0.3288815,0.3308716,-0.4870279,0.5891017
0.3305509,0.3334087,-0.4847517,0.5925102
0.3322204,0.3359082,-0.4825155,0.5958640
0.3338898,0.3383703,-0.4803218,0.5991616
0.3355593,0.3407951,-0.4781726,0.6024018
0.3372287,0.3431830,-0.4760699,0.6055835
0.3388982,0.3455343,-0.4740155,0.6087059
0.3405676,0.3478496,-0.4720110,0.6117684
0.3422371,0.3501296,-0.4700579,0.6147705
0.3439065,0.3523750,-0.4681576,0.6177121
0.3455760,0.3545867,-0.4663112,0.6205933
0.3472454,0.3567657,-0.4645196,0.6234142
0.3489149,0.3589131,-0.4627836,0.6261755
0.3505843,0.3610300,-0.4611038,0.6288780
0.3522538,0.3631178,-0.4594806,0.6315225
0.3539232,0.3651777,-0.4579142,0.6341103
0.3555927,0.3672112,-0.4564047,0.6366429
0.3572621,0.3692198,-0.4549517,0.6391219
0.3589316,0.3712052,-0.4535550,0.6415494
0.3606010,0.3731689,-0.4522140,0.6439273
0.3622705,0.3751127,-0.4509278,0.6462581
0.3639399,0.3770384,-0.4496956,0.6485442
0.3656093,0.3789476,-0.4485161,0.6507884
0.3672788,0.3808423,-0.4473881,0.6529935
0.3689482,0.3827244,-0.4463099,0.6551625
0.3706177,0.3845956,-0.4452800,0.6572985
0.3722871,0.3864580,-0.4442963,0.6594047
0.3739566,0.3883133,-0.4433567,0.6614843
0.3756260,0.3901636,-0.4424591,0.6635408
0.3772955,0.3920107,-0.4416011,0.6655775
0.3789649,0.3938564,-0.4407800,0.6675976
0.3806344,0.3957027,-0.4399931,0.6696045
0.3823038,0.3975512,-0.4392376,0.6716015
0.3839733,0.3994038,-0.4385105,0.6735918
0.3856427,0.4012623,-0.4378085,0.6755783
0.3873122,0.4031281,-0.4371285,0.6775642
0.3889816,0.4050029,-0.4364671,0.6795523
0.3906511,0.4068883,-0.4358207,0.6815454
0.3923205,0.4087856,-0.4351858,0.6835461
0.3939900,0.4106961,-0.4345588,0.6855569
0.3956594,0.4126211,-0.4339359,0.6875802
0.3973289,0.4145617,-0.4333132,0.6896182
0.3989983,0.4165189,-0.4326870,0.6916731
0.4006678,0.4184936,-0.4320533,0.6937470
0.4023372,0.4204864,-0.4314083,0.6958417
0.4040067,0.4224982,-0.4307478,0.6979590
0.4056761,0.4245292,-0.4300681,0.7001008
0.4073456,0.4265799,-0.4293650,0.7022687
0.4090150,0.4286505,-0.4286348,0.7044642
0.4106845,0.4307410,-0.4278736,0.7066890
0.4123539,0.4328513,-0.4270773,0.7089446
0.4140234,0.4349812,-0.4262423,0.7112322
0.4156928,0.4371301,-0.4253648,0.7135534
0.4173623,0.4392974,-0.4244412,0.7159093
0.4190317,0.4414824,-0.4234678,0.7183013
0.4207012,0.4436841,-0.4224413,0.7207305
0.4223706,0.4459013,-0.4213583,0.7231981
0.4240401,0.4481327,-0.4202156,0.7257051
0.4257095,0.4503768,-0.4190101,0.7282525
0.4273790,0.4526318,-0.4177390,0.7308411
0.4290484,0.4548961,-0.4163995,0.7334719
0.4307179,0.4571674,-0.4149892,0.7361454
0.4323873,0.4594436,-0.4135056,0.7388624
0.4340568,0.4617222,-0.4119468,0.7416233
0.4357262,0.4640009,-0.4103107,0.7444284
0.4373957,0.4662767,-0.4085958,0.7472781
0.4390651,0.4685470,-0.4068007,0.7501723
0.4407346,0.4708086,-0.4049243,0.7531110
0.4424040,0.4730585,-0.4029656,0.7560940
0.4440735,0.4752934,-0.4009243,0.7591208
0.4457429,0.4775099,-0.3988000,0.7621909
0.4474124,0.4797045,-0.3965927,0.7653035
0.4490818,0.4818738,-0.3943030,0.7684577
0.4507513,0.4840140,-0.3919315,0.7716522
0.4524207,0.4861216,-0.3894792,0.7748857
0.4540902,0.4881929,-0.3869476,0.7781566
0.4557596,0.4902240,-0.3843384,0.7814632
0.4574290,0.4922115,-0.3816537,0.7848035
0.4590985,0.4941516,-0.3788960,0.7881753
0.4607679,0.4960407,-0.3760681,0.7915762
0.4624374,0.4978755,-0.3731730,0.7950037
0.4641068,0.4996526,-0.3702144,0.7984549
0.4657763,0.5013687,-0.3671961,0.8019270
0.4674457,0.5030208,-0.3641221,0.8054168
0.4691152,0.5046063,-0.3609971,0.8089211
0.4707846,0.5061225,-0.3578256,0.8124363
0.4724541,0.5075671,-0.3546128,0.8159590
0.4741235,0.5089384,-0.3513638,0.8194855
0.4757930,0.5102345,-0.3480843,0.8230119
0.4774624,0.5114544,-0.3447797,0.8265344
0.4791319,0.5125971,-0.3414560,0.8300491
0.4808013,0.5136623,-0.3381190,0.8335520
0.4824708,0.5146499,-0.3347746,0.8370391
0.4841402,0.5155605,-0.3314289,0.8405065
0.4858097,0.5163950,-0.3280878,0.8439503
0.4874791,0.5171548,-0.3247572,0.8473665
