# Sinusoidal end-effector reference trajectory
# amplitude_m    : 0.0250
# amplitude_cm   : 2.5
# n_waves        : 6
# ws_centre_m    : (0.42562, -0.24573)
# n_points       : 553
# arc_length_m   : 1.75388
# arc_length_cm  : 175.388
t,x_m,y_m,arc_length_m
0.0000000,-0.2025136,-0.5371106,0.0000000
0.0016694,-0.2014865,-0.5393383,0.0024531
0.0033389,-0.2004392,-0.5415515,0.0049016
0.0050083,-0.1993653,-0.5437471,0.0073457
0.0066778,-0.1982589,-0.5459218,0.0097857
0.0083472,-0.1971141,-0.5480727,0.0122223
0.0450751,-0.1538419,-0.5836907,0.0682680
0.0467446,-0.1508618,-0.5845877,0.0713802
0.0484140,-0.1477946,-0.5854138,0.0745567
0.0500835,-0.1446426,-0.5861689,0.0777979
0.0517529,-0.1414082,-0.5868537,0.0811040
0.0534224,-0.1380944,-0.5874687,0.0844744
0.0550918,-0.1347042,-0.5880148,0.0879083
0.0567613,-0.1312411,-0.5884930,0.0914042
0.0584307,-0.1277087,-0.5889047,0.0949606
0.0601002,-0.1241108,-0.5892512,0.0985751
0.0617696,-0.1204516,-0.5895343,0.1022453
0.0634391,-0.1167352,-0.5897558,0.1059682
0.0651085,-0.1129663,-0.5899177,0.1097406
0.0667780,-0.1091493,-0.5900224,0.1135591
0.0684474,-0.1052890,-0.5900722,0.1174197
0.0701169,-0.1013903,-0.5900696,0.1213183
0.0717863,-0.0974583,-0.5900174,0.1252507
0.0734558,-0.0934979,-0.5899185,0.1292124
0.0751252,-0.0895142,-0.5897759,0.1331986
0.0767947,-0.0855126,-0.5895926,0.1372044
0.0784641,-0.0814981,-0.5893719,0.1412250
0.0801336,-0.0774760,-0.5891172,0.1452551
0.0818030,-0.0734514,-0.5888319,0.1492898
0.0834725,-0.0694295,-0.5885194,0.1533238
0.0851419,-0.0654155,-0.5881833,0.1573519
0.0868114,-0.0614143,-0.5878273,0.1613689
0.0884808,-0.0574308,-0.5874550,0.1653697
0.0901503,-0.0534700,-0.5870700,0.1693492
0.0918197,-0.0495365,-0.5866760,0.1733024
0.0934891,-0.0456348,-0.5862767,0.1772244
0.0951586,-0.0417695,-0.5858756,0.1811106
0.0968280,-0.0379446,-0.5854765,0.1849562
0.0984975,-0.0341642,-0.5850828,0.1887571
0.1001669,-0.0304321,-0.5846981,0.1925089
0.1018364,-0.0267520,-0.5843257,0.1962078
0.1035058,-0.0231273,-0.5839689,0.1998500
0.1051753,-0.0195610,-0.5836310,0.2034323
0.1068447,-0.0160561,-0.5833151,0.2069514
0.1085142,-0.0126152,-0.5830240,0.2104046
0.1101836,-0.0092406,-0.5827606,0.2137895
0.1118531,-0.0059344,-0.5825275,0.2171039
0.1135225,-0.0026984,-0.5823273,0.2203460
0.1151920,0.0004658,-0.5821622,0.2235146
0.1168614,0.0035572,-0.5820343,0.2266086
0.1185309,0.0065748,-0.5819455,0.2296275
0.1202003,0.0095179,-0.5818976,0.2325710
0.1218698,0.0123862,-0.5818920,0.2354393
0.1235392,0.0151798,-0.5819300,0.2382332
0.1252087,0.0178989,-0.5820125,0.2409536
0.1268781,0.0205442,-0.5821405,0.2436019
0.1285476,0.0231164,-0.5823144,0.2461799
0.1302170,0.0256167,-0.5825345,0.2486899
0.1318865,0.0280466,-0.5828009,0.2511344
0.1335559,0.0304077,-0.5831135,0.2535161
0.1352254,0.0327021,-0.5834716,0.2558383
0.1368948,0.0349320,-0.5838748,0.2581043
0.1385643,0.0370998,-0.5843219,0.2603178
0.1402337,0.0392083,-0.5848118,0.2624825
0.1419032,0.0412604,-0.5853430,0.2646022
0.1435726,0.0432593,-0.5859139,0.2666810
0.1452421,0.0452082,-0.5865225,0.2687227
0.1469115,0.0471107,-0.5871667,0.2707314
0.1485810,0.0489706,-0.5878441,0.2727107
0.1502504,0.0507915,-0.5885521,0.2746645
0.1519199,0.0525776,-0.5892878,0.2765961
0.1535893,0.0543329,-0.5900483,0.2785091
0.1552588,0.0560616,-0.5908304,0.2804065
0.1569282,0.0577680,-0.5916307,0.2822912
0.1585977,0.0594564,-0.5924456,0.2841660
0.1602671,0.0611313,-0.5932715,0.2860335
0.1619366,0.0627971,-0.5941045,0.2878959
0.1636060,0.0644581,-0.5949408,0.2897556
0.1652755,0.0661189,-0.5957762,0.2916147
0.1669449,0.0677838,-0.5966066,0.2934752
0.1686144,0.0694572,-0.5974278,0.2953392
0.1702838,0.0711435,-0.5982355,0.2972090
0.1719533,0.0728468,-0.5990254,0.2990865
0.1736227,0.0745712,-0.5997931,0.3009741
0.1752922,0.0763209,-0.6005342,0.3028743
0.1769616,0.0780996,-0.6012445,0.3047896
0.1786311,0.0799112,-0.6019196,0.3067228
0.1803005,0.0817592,-0.6025552,0.3086771
0.1819699,0.0836470,-0.6031471,0.3106555
0.1836394,0.0855779,-0.6036912,0.3126616
0.1853088,0.0875549,-0.6041835,0.3146989
0.1869783,0.0895807,-0.6046200,0.3167713
0.1886477,0.0916580,-0.6049971,0.3188825
0.1903172,0.0937892,-0.6053109,0.3210367
0.1919866,0.0959764,-0.6055582,0.3232378
0.1936561,0.0982213,-0.6057357,0.3254897
0.1953255,0.1005257,-0.6058402,0.3277965
0.1969950,0.1028908,-0.6058688,0.3301618
0.1986644,0.1053178,-0.6058191,0.3325893
0.2003339,0.1078074,-0.6056885,0.3350823
0.2020033,0.1103602,-0.6054749,0.3376440
0.2036728,0.1129764,-0.6051764,0.3402772
0.2053422,0.1156560,-0.6047915,0.3429843
0.2070117,0.1183986,-0.6043187,0.3457674
0.2086811,0.1212038,-0.6037571,0.3486282
0.2103506,0.1240707,-0.6031058,0.3515681
0.2120200,0.1269981,-0.6023645,0.3545880
0.2136895,0.1299847,-0.6015331,0.3576882
0.2153589,0.1330289,-0.6006116,0.3608688
0.2170284,0.1361288,-0.5996005,0.3641294
0.2186978,0.1392824,-0.5985007,0.3674692
0.2203673,0.1424872,-0.5973132,0.3708870
0.2220367,0.1457408,-0.5960395,0.3743810
0.2237062,0.1490405,-0.5946813,0.3779493
0.2253756,0.1523832,-0.5932405,0.3815893
0.2270451,0.1557659,-0.5917195,0.3852982
0.2287145,0.1591853,-0.5901209,0.3890729
0.2303840,0.1626381,-0.5884476,0.3929097
0.2320534,0.1661206,-0.5867027,0.3968049
0.2337229,0.1696292,-0.5848897,0.4007543
0.2353923,0.1731601,-0.5830121,0.4047534
0.2370618,0.1767095,-0.5810738,0.4087975
0.2387312,0.1802735,-0.5790790,0.4128818
0.2404007,0.1838481,-0.5770320,0.4170010
