# Sinusoidal end-effector reference trajectory
# amplitude_m    : 0.0200
# amplitude_cm   : 2.0
# n_waves        : 6
# ws_centre_m    : (0.42562, -0.24573)
# n_points       : 579
# arc_length_m   : 1.72937
# arc_length_cm  : 172.937
t,x_m,y_m,arc_length_m
0.0000000,-0.2025136,-0.5371106,0.0000000
0.0016694,-0.2011883,-0.5391987,0.0024732
0.0033389,-0.1998455,-0.5412710,0.0049425
0.0050083,-0.1984803,-0.5433251,0.0074089
0.0066778,-0.1970879,-0.5453584,0.0098733
0.0083472,-0.1956635,-0.5473684,0.0123368
0.0100167,-0.1942028,-0.5493528,0.0148008
0.0116861,-0.1927013,-0.5513088,0.0172667
0.0133556,-0.1911550,-0.5532342,0.0197362
0.0150250,-0.1895600,-0.5551265,0.0222110
0.0166945,-0.1879125,-0.5569833,0.0246933
0.0183639,-0.1862091,-0.5588022,0.0271853
0.0200334,-0.1844467,-0.5605809,0.0296893
0.0283806,-0.1746550,-0.5687993,0.0424729
0.0300501,-0.1724859,-0.5702946,0.0451074
0.0317195,-0.1702430,-0.5717364,0.0477737
0.0333890,-0.1679253,-0.5731235,0.0504748
0.0350584,-0.1655322,-0.5744544,0.0532131
0.0367279,-0.1630632,-0.5757281,0.0559913
0.0383973,-0.1605182,-0.5769436,0.0588116
0.0400668,-0.1578975,-0.5781000,0.0616761
0.0417362,-0.1552016,-0.5791968,0.0645866
0.0434057,-0.1524313,-0.5802334,0.0675445
0.0450751,-0.1495875,-0.5812094,0.0705511
0.0467446,-0.1466716,-0.5821247,0.0736073
0.0484140,-0.1436851,-0.5829793,0.0767137
0.0500835,-0.1406299,-0.5837734,0.0798704
0.0517529,-0.1375080,-0.5845074,0.0830774
0.0534224,-0.1343218,-0.5851817,0.0863342
0.0550918,-0.1310737,-0.5857971,0.0896400
0.0567613,-0.1277665,-0.5863543,0.0929939
0.0584307,-0.1244031,-0.5868545,0.0963943
0.0601002,-0.1209865,-0.5872989,0.0998396
0.0617696,-0.1175202,-0.5876887,0.1033278
0.0634391,-0.1140074,-0.5880255,0.1068567
0.0651085,-0.1104518,-0.5883109,0.1104237
0.0667780,-0.1068572,-0.5885467,0.1140261
0.0684474,-0.1032272,-0.5887349,0.1176610
0.0701169,-0.0995658,-0.5888775,0.1213251
0.0717863,-0.0958771,-0.5889767,0.1250152
0.0734558,-0.0921651,-0.5890349,0.1287276
0.0751252,-0.0884338,-0.5890543,0.1324589
0.0767947,-0.0846876,-0.5890376,0.1362052
0.0784641,-0.0809305,-0.5889873,0.1399627
0.0801336,-0.0771667,-0.5889061,0.1437274
0.0818030,-0.0734003,-0.5887968,0.1474953
0.0834725,-0.0696356,-0.5886621,0.1512624
0.0851419,-0.0658766,-0.5885050,0.1550246
0.0868114,-0.0621274,-0.5883282,0.1587780
0.0884808,-0.0583919,-0.5881349,0.1625186
0.0901503,-0.0546740,-0.5879278,0.1662423
0.0918197,-0.0509774,-0.5877099,0.1699452
0.0934891,-0.0473059,-0.5874842,0.1736237
0.0951586,-0.0436629,-0.5872536,0.1772740
0.0968280,-0.0400519,-0.5870210,0.1808925
0.0984975,-0.0364760,-0.5867892,0.1844758
0.1001669,-0.0329385,-0.5865610,0.1880207
0.1018364,-0.0294421,-0.5863392,0.1915241
0.1035058,-0.0259896,-0.5861264,0.1949832
0.1051753,-0.0225835,-0.5859252,0.1983952
0.1068447,-0.0192262,-0.5857380,0.2017577
0.1085142,-0.0159197,-0.5855673,0.2050686
0.1101836,-0.0126659,-0.5854153,0.2083259
0.1118531,-0.0094666,-0.5852842,0.2115280
0.1135225,-0.0063232,-0.5851758,0.2146733
0.1151920,-0.0032368,-0.5850921,0.2177608
0.1168614,-0.0002085,-0.5850348,0.2207896
0.1185309,0.0027610,-0.5850054,0.2237593
