# Sinusoidal end-effector reference trajectory
# amplitude_m    : 0.0250
# amplitude_cm   : 2.5
# n_waves        : 9
# ws_centre_m    : (0.42562, -0.24573)
# n_points       : 559
# arc_length_m   : 1.84565
# arc_length_cm  : 184.565
t,x_m,y_m,arc_length_m
0.0000000,-0.2025136,-0.5371106,0.0000000
0.0016694,-0.2022302,-0.5396865,0.0025914
0.0033389,-0.2019073,-0.5422452,0.0051705
0.0367279,-0.1641856,-0.5763573,0.0560287
0.0383973,-0.1603107,-0.5768263,0.0599319
0.0400668,-0.1562807,-0.5771791,0.0639773
0.0417362,-0.1521093,-0.5774214,0.0681557
0.0434057,-0.1478116,-0.5775601,0.0724556
0.0450751,-0.1434034,-0.5776026,0.0768641
0.0467446,-0.1389013,-0.5775573,0.0813664
0.0484140,-0.1343228,-0.5774332,0.0859466
0.0500835,-0.1296856,-0.5772399,0.0905877
0.0517529,-0.1250081,-0.5769875,0.0952721
0.0534224,-0.1203085,-0.5766865,0.0999813
0.0550918,-0.1156053,-0.5763479,0.1046967
0.0567613,-0.1109167,-0.5759829,0.1093995
0.0584307,-0.1062605,-0.5756026,0.1140711
0.0601002,-0.1016543,-0.5752184,0.1186933
0.0617696,-0.0971149,-0.5748417,0.1232484
0.0634391,-0.0926583,-0.5744834,0.1277193
0.0651085,-0.0882998,-0.5741545,0.1320902
0.0667780,-0.0840535,-0.5738655,0.1363463
0.0684474,-0.0799326,-0.5736263,0.1404742
0.0701169,-0.0759487,-0.5734465,0.1444621
0.0717863,-0.0721125,-0.5733350,0.1483000
0.0734558,-0.0684329,-0.5732999,0.1519797
0.0751252,-0.0649177,-0.5733485,0.1554953
0.0767947,-0.0615729,-0.5734873,0.1588429
0.0784641,-0.0584031,-0.5737220,0.1620214
0.0801336,-0.0554112,-0.5740570,0.1650321
0.0818030,-0.0525984,-0.5744959,0.1678789
0.0834725,-0.0499646,-0.5750412,0.1705686
0.0851419,-0.0475078,-0.5756944,0.1731107
0.0868114,-0.0452246,-0.5764556,0.1755174
0.0884808,-0.0431101,-0.5773241,0.1778034
0.0901503,-0.0411578,-0.5782978,0.1799850
0.0918197,-0.0393598,-0.5793738,0.1820803
0.0934891,-0.0377071,-0.5805478,0.1841076
