# Sinusoidal end-effector reference trajectory
# amplitude_m    : 0.0250
# amplitude_cm   : 2.5
# n_waves        : 4
# ws_centre_m    : (0.42562, -0.24573)
# n_points       : 579
# arc_length_m   : 1.71588
# arc_length_cm  : 171.588
t,x_m,y_m,arc_length_m
0.0000000,-0.2025136,-0.5371106,0.0000000
0.0016694,-0.2009899,-0.5391058,0.0025105
0.0033389,-0.1994529,-0.5410855,0.0050168
0.0050083,-0.1979010,-0.5430488,0.0075194
0.0066778,-0.1963323,-0.5449948,0.0100189
0.0083472,-0.1947453,-0.5469226,0.0125160
0.0100167,-0.1931381,-0.5488312,0.0150111
0.0116861,-0.1915093,-0.5507197,0.0175050
0.0133556,-0.1898572,-0.5525872,0.0199984
0.0150250,-0.1881803,-0.5544326,0.0224919
0.0166945,-0.1864773,-0.5562552,0.0249863
0.0183639,-0.1847466,-0.5580538,0.0274823
0.0200334,-0.1829869,-0.5598276,0.0299809
0.0217028,-0.1811970,-0.5615756,0.0324827
0.0233723,-0.1793757,-0.5632969,0.0349888
0.0250417,-0.1775217,-0.5649906,0.0374999
0.0267112,-0.1756339,-0.5666558,0.0400171
0.0283806,-0.1737114,-0.5682915,0.0425414
0.0300501,-0.1717531,-0.5698969,0.0450736
0.0317195,-0.1697582,-0.5714712,0.0476149
0.0333890,-0.1677257,-0.5730134,0.0501662
0.0350584,-0.1656550,-0.5745227,0.0527286
0.0367279,-0.1635453,-0.5759983,0.0553032
0.0383973,-0.1613959,-0.5774395,0.0578910
0.0400668,-0.1592063,-0.5788455,0.0604931
0.0417362,-0.1569761,-0.5802155,0.0631106
0.0434057,-0.1547046,-0.5815489,0.0657444
0.0450751,-0.1523917,-0.5828449,0.0683957
0.0467446,-0.1500370,-0.5841029,0.0710654
0.0484140,-0.1476403,-0.5853223,0.0737545
0.0500835,-0.1452014,-0.5865025,0.0764640
0.0517529,-0.1427202,-0.5876430,0.0791947
0.0534224,-0.1401967,-0.5887432,0.0819476
0.0550918,-0.1376310,-0.5898027,0.0847235
0.0567613,-0.1350231,-0.5908209,0.0875231
0.0584307,-0.1323733,-0.5917977,0.0903472
0.0601002,-0.1296818,-0.5927324,0.0931964
0.0617696,-0.1269488,-0.5936249,0.0960714
0.0634391,-0.1241749,-0.5944749,0.0989726
0.0651085,-0.1213604,-0.5952821,0.1019006
0.0667780,-0.1185058,-0.5960463,0.1048557
0.0684474,-0.1156117,-0.5967673,0.1078383
0.0701169,-0.1126786,-0.5974452,0.1108487
0.0717863,-0.1097074,-0.5980797,0.1138869
0.0734558,-0.1066986,-0.5986709,0.1169532
0.0751252,-0.1036531,-0.5992189,0.1200476
0.0767947,-0.1005718,-0.5997236,0.1231700
0.0784641,-0.0974555,-0.6001852,0.1263203
0.0801336,-0.0943052,-0.6006039,0.1294983
0.0818030,-0.0911218,-0.6009799,0.1327038
0.0834725,-0.0879065,-0.6013134,0.1359364
0.0851419,-0.0846602,-0.6016047,0.1391957
0.0868114,-0.0813841,-0.6018543,0.1424813
0.0884808,-0.0780795,-0.6020624,0.1457925
0.0901503,-0.0747474,-0.6022296,0.1491287
0.0918197,-0.0713892,-0.6023562,0.1524893
0.0934891,-0.0680061,-0.6024429,0.1558735
0.0951586,-0.0645994,-0.6024902,0.1592806
0.0968280,-0.0611705,-0.6024987,0.1627095
0.0984975,-0.0577207,-0.6024692,0.1661594
0.1001669,-0.0542515,-0.6024022,0.1696293
0.1018364,-0.0507642,-0.6022985,0.1731181
0.1035058,-0.0472603,-0.6021589,0.1766247
0.1051753,-0.0437413,-0.6019843,0.1801481
0.1068447,-0.0402086,-0.6017754,0.1836870
0.1085142,-0.0366637,-0.6015332,0.1872401
0.1101836,-0.0331081,-0.6012586,0.1908063
0.1118531,-0.0295434,-0.6009526,0.1943841
0.1135225,-0.0259710,-0.6006162,0.1979724
0.1151920,-0.0223924,-0.6002503,0.2015696
0.1168614,-0.0188093,-0.5998561,0.2051744
0.1185309,-0.0152230,-0.5994346,0.2087853
0.1202003,-0.0116351,-0.5989870,0.2124010
0.1218698,-0.0080472,-0.5985144,0.2160199
0.1235392,-0.0044607,-0.5980179,0.2196406
0.1252087,-0.0008771,-0.5974987,0.2232616
0.1268781,0.0027021,-0.5969580,0.2268814
0.1285476,0.0062755,-0.5963971,0.2304985
0.1302170,0.0098415,-0.5958172,0.2341114
0.1318865,0.0133988,-0.5952195,0.2377186
0.1335559,0.0169461,-0.5946053,0.2413186
0.1352254,0.0204818,-0.5939759,0.2449099
0.1368948,0.0240046,-0.5933325,0.2484911
0.1385643,0.0275134,-0.5926764,0.2520606
0.1402337,0.0310066,-0.5920089,0.2556171
0.1419032,0.0344832,-0.5913312,0.2591591
0.1435726,0.0379419,-0.5906448,0.2626852
0.1452421,0.0413814,-0.5899507,0.2661941
0.1469115,0.0448008,-0.5892505,0.2696844
0.1485810,0.0481988,-0.5885451,0.2731548
0.1502504,0.0515744,-0.5878361,0.2766041
0.1519199,0.0549266,-0.5871245,0.2800310
0.1535893,0.0582545,-0.5864116,0.2834344
0.1552588,0.0615571,-0.5856986,0.2868131
0.1569282,0.0648335,-0.5849868,0.2901660
0.1585977,0.0680830,-0.5842772,0.2934920
0.1602671,0.0713048,-0.5835711,0.2967903
0.1619366,0.0744982,-0.5828695,0.3000598
0.1636060,0.0776624,-0.5821735,0.3032997
0.1652755,0.0807970,-0.5814842,0.3065092
0.1669449,0.0839013,-0.5808026,0.3096875
0.1686144,0.0869750,-0.5801297,0.3128339
0.1702838,0.0900175,-0.5794665,0.3159478
0.1719533,0.0930284,-0.5788139,0.3190287
0.1736227,0.0960076,-0.5781727,0.3220761
0.1752922,0.0989546,-0.5775439,0.3250895
0.1769616,0.1018694,-0.5769280,0.3280686
0.1786311,0.1047517,-0.5763260,0.3310131
0.1803005,0.1076016,-0.5757386,0.3339229
0.1819699,0.1104189,-0.5751662,0.3367978
0.1836394,0.1132038,-0.5746096,0.3396377
0.1853088,0.1159562,-0.5740693,0.3424427
0.1869783,0.1186765,-0.5735458,0.3452129
0.1886477,0.1213648,-0.5730395,0.3479484
0.1903172,0.1240213,-0.5725507,0.3506495
0.1919866,0.1266464,-0.5720799,0.3533165
0.1936561,0.1292405,-0.5716273,0.3559498
0.1953255,0.1318040,-0.5711930,0.3585498
0.1969950,0.1343374,-0.5707772,0.3611171
0.1986644,0.1368412,-0.5703800,0.3636522
0.2003339,0.1393161,-0.5700015,0.3661559
0.2020033,0.1417626,-0.5696415,0.3686288
0.2036728,0.1441815,-0.5693000,0.3710717
0.2053422,0.1465735,-0.5689768,0.3734854
0.2070117,0.1489394,-0.5686717,0.3758708
0.2086811,0.1512799,-0.5683844,0.3782290
0.2103506,0.1535960,-0.5681145,0.3805607
0.2120200,0.1558885,-0.5678617,0.3828671
0.2136895,0.1581585,-0.5676255,0.3851493
0.2153589,0.1604067,-0.5674053,0.3874083
0.2170284,0.1626343,-0.5672006,0.3896453
0.2186978,0.1648423,-0.5670107,0.3918615
0.2203673,0.1670318,-0.5668349,0.3940580
0.2220367,0.1692037,-0.5666724,0.3962360
0.2237062,0.1713593,-0.5665224,0.3983968
0.2253756,0.1734996,-0.5663841,0.4005416
0.2270451,0.1756258,-0.5662565,0.4026716
0.2287145,0.1777391,-0.5661386,0.4047882
0.2303840,0.1798406,-0.5660294,0.4068925
0.2320534,0.1819315,-0.5659279,0.4089858
0.2337229,0.1840129,-0.5658328,0.4110695
0.2353923,0.1860862,-0.5657431,0.4131447
0.2370618,0.1881524,-0.5656575,0.4152126
0.2387312,0.1902128,-0.5655747,0.4172747
0.2404007,0.1922685,-0.5654936,0.4193320
0.2420701,0.1943208,-0.5654127,0.4213859
